,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CATEGORIES,,,,,,,,,,,,,,,,,,,,,,,,,Parametr,Value ,Coef,Price,,Parametr,Value ,Coef,Price,,Parametr,Value ,Coef,Price,,Parametr,Value ,Coef,Price,,Parametr,Value ,Coef,Price
,,,,,BIKE NAME,price per day HIGH SEASON,,,,,price per day MIDDLE SEASON,,,,,price per day LOW SEASON,,,,,,,,,BIKE NAME [PI CHA],price per day HIGH SEASON,,,,,price per day MIDDLE SEASON,,,,,price per day LOW SEASON,,,,,,,,,,,,,
,,,,,,1 day,7 days,14 days,21 days,MONTH,1 day,7 days,14 days,21 days,MONTH,1 day,7 days,14 days,21 days,MONTH,,,,,,1 day,7 days,14 days,21 days,MONTH,1 day,7 days,14 days,21 days,MONTH,1 day,7 days,14 days,21 days,MONTH,,,,,,,,,
,,,,✔," Click 125cc, Blue, 2019",230,229,215,191,147,230,200,186,162,130,200,172,161,143,117,,,,✔,"Click 125cc, Black, 2023",250,258,215,191,150,250,229,172,153,134,220,200,172,143,127,,,,,,,,,
,,,,✔,"Scoopy 110cc, Red, 2026",300,272,236,210,167,250,229,215,200,150,250,186,172,167,134,,,,✔,"Click 125cc, White, 2023",250,258,215,191,150,250,229,172,153,134,220,200,172,143,127,,,,,,,,,
,,,,✔,,,,,,,,,,,,,,,,,,,,✔,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,
,,,,✔," Aerox 155cc, ABS, Green, 2018",300,272,236,210,167,250,229,215,200,150,250,186,172,167,134,,,,✔,"PCX 160cc, ABS, Black, 2021",350,300,293,286,230,330,286,265,248,200,300,258,236,229,190,,,,,,,,,
,,,,✔," PCX 150cc, Silver, 2018",330,300,272,241,200,300,250,200,220,175,250,200,179,186,150,,,,✔,"PCX 160cc, ABS, Red, 2023",370,343,315,320,250,350,315,300,267,217,330,286,258,234,190,,,,,,,,,
,,,,✔," PCX 150cc, Blue, 2019",330,300,272,241,200,300,250,200,220,175,250,200,179,186,150,,,,✔,"ADV 160cc, ABS, Red, 2024",450,400,350,329,267,370,358,343,291,234,350,343,286,267,217,,,,,,,,,
,,,,✔," PCX 150cc, Black, 2018",330,300,272,241,200,300,250,200,220,175,250,200,179,186,150,,,,✔,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,✔," ADV 150cc, ABS, Black, 2022",350,300,293,286,230,330,272,258,243,197,300,243,222,215,174,,,,✔,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,✔," N-Max 155cc, ABS, Blue, 2022",350,315,300,286,234,330,286,265,248,200,300,258,236,229,184,,,,✔,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,✔," N-Max 155cc, ABS, Black, 2022",350,315,300,286,234,330,286,265,248,200,300,258,236,229,184,,,,✔,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,✔," PCX 160cc, White, 2022",350,315,300,286,234,330,286,265,248,200,300,258,236,229,184,,,,✔,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,✔," PCX 160cc, ABS, Black, 2022",350,315,300,286,234,330,286,265,248,200,300,258,236,229,184,,,,✔,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,✔," PCX 160cc, ABS, Black, 2023",370,343,315,300,250,350,315,300,267,217,330,286,258,234,190,,,,✔,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,✔," ADV 160cc, ABS, Black, 2023",370,343,315,300,250,350,315,300,267,217,330,286,258,234,190,,,,✔,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,✔," PCX 160cc, ABS, Blue, 2024",370,358,343,324,264,370,343,322,286,230,330,315,272,262,210,,,,✔,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,✔," ADV 160cc, ABS, Red, 2024",450,400,350,329,267,370,358,343,291,234,350,343,286,267,217,,,,✔,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,✔,,,,,,,,,,,,,,,,,,,,✔,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,✔," Forza 350cc, ABS, Black, 2023",850,786,715,691,550,750,750,643,620,500,700,700,572,548,450,,,,✔,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,✔," Xmax 300cc, ABS, Black, 2024",900,858,800,739,600,800,800,715,686,550,750,715,643,572,467,,,,✔,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,✔,"ADV 350cc, ABS, Black, 2025",1 000,958,893,781,650,900,900,850,743,600,800,715,643,667,550,,,,✔,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,✔,,,,,,,,,,,,,,,,,,,,✔,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,✔,"Mazda 2, 1.3, Black, 2020",1 200,1 143,1 036,900,800,1 000,1 000,900,800,667,1 000,858,715,715,567,,,,✔,"Toyota Corolla 1.6, Silver, 2012",900,715,679,667,534,800,686,608,572,467,700,643,536,500,417,,,,,,,,,
,,,,✔,"Honda HR-V, 1.8, Red, 2020",1 800,1 429,1 115,1 029,900,1 700,1 143,965,896,800,1 400,1 000,858,786,717,,,,✔,"Mitsubishi Xpander 1.5, Silver, 2021",1 500,1 143,1 000,953,800,1 200,1 072,893,858,734,1 100,929,858,762,667,,,,,,,,,
,,,,✔,"Honda HR-V, 1.5, Red, 2023",2 200,1 929,1 572,1 477,1 334,2 000,1 500,1 372,1 286,1 234,1 700,1 286,1 179,1 120,1 034,,,,✔,,,,,,,,,,,,,,,,,,,,,,,,,
